lon,lat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg,std,95th_centile,5th_centile
24.5,35.5,174.63700453434086,187.63922429693156,183.37320890099295,207.94802641591005,209.6286681888852,196.20746585099343,206.607475397556,173.17170093194133,187.1182199946536,182.15994831118837,176.205802371156,156.87125729845908,202.63231574366083,172.9636446510072,198.6628050116921,189.72102990772456,195.76838205282476,184.83817920222913,212.48029287847555,199.54453634428367,177.3065048580412,166.22255797373774,192.39935103125498,172.55376597900676,211.3125881935152,200.88044973420864,196.55395172715907,202.60832481993373,198.37495898886016,226.8758361056299,178.5933881912537,210.64764453801442,178.16450037335804,186.98503841633269,199.62905891129125,197.76593258959534,207.0263232349791,204.63199689880744,198.42137861072,198.13866075159066,200.18543618615755,199.88165689492183,230.33519614700427,173.78358945723258,180.32032390069847,196.98606414819935,187.74072534013249,179.37378422529258,161.86003550018143,189.426239616531,168.28940834720945,185.1061847138114,194.72199435631,189.8364119106927,201.2206632456876,186.02633956876556,172.30894007155268,192.30450963654303,185.87672064321026,192.06173514153423,219.01487140579636,191.13347337418782,181.69920190865028,156.7191884324118,189.51993366553998,200.01956483646686,203.59672310351405,166.44036804768444,191.75247837985088,191.11942967066966,204.77473975284553,163.54826267419145,222.36067422369382,192.41387863767457,176.0950389181365,155.38908065405423,186.3065777283442,218.94616481582287,157.66267853765507,169.50122192659515,182.92756955531163,197.82385822661345,190.42331234370084,181.76745656362425,209.21878875509938,199.15348359467365,153.76099400911795,184.22311508986922,192.2629349728923,185.77892532148937,186.98092305355317,173.36847963207293,173.67801797602533,198.13331647402674,181.23927649903302,196.946619712348,193.8951620855326,190.90061852998062,217.02618535718648,146.6390478936892,189.45078995603487,16.483523704024133,217.1221843301183,157.62310747569526
-5.5,36.5,290.30792226047475,365.7163335608742,319.6905043127459,354.7785614789508,333.53511640500784,347.40017515280084,388.1422320323008,278.17067320303966,333.9332101590906,320.7858086964974,308.79157292085335,262.2730416911755,351.27697126486834,309.82842787277906,354.06857557256245,306.40301721763734,350.5455387735778,338.9556604228679,364.05426089947434,364.94987515160807,309.17122075276717,293.9254089370772,313.43797035611203,313.8895967462521,389.8511484992446,370.57890825834886,357.77022363016135,339.55361620364425,344.6116534092332,397.92540369586015,296.4330727627062,361.00632106142723,318.64332262403576,322.4633544623613,358.9822066517903,363.4501617486366,367.63563075629116,361.0675644335441,377.7173276000571,351.97371474697417,384.50256154307334,352.9501223866954,405.41935424343177,277.511406447673,299.04582673771597,356.05331909462785,323.17443735762606,288.74352166905715,270.4755632537873,322.3052400338434,294.2390878745365,343.32436517326755,313.10776031601523,329.85115749686827,347.7685750286801,321.3011347676808,274.5470889067728,327.90439174487847,314.52768089842976,342.9312575713744,390.69086710408004,337.2285128951307,331.5448634255058,268.15885270318006,346.6510954767356,364.7528430589739,341.61375877364196,269.0512000928291,333.03991841550794,306.9628913506193,350.0796202512146,285.6178006810121,380.8012521700522,336.0960955054383,291.44373853819457,260.37724158794305,357.5709358405924,382.09921005770934,267.9777789369029,310.13883371715326,347.13366205779636,314.34116852592456,332.54476553244945,343.89568165276415,387.1024034076998,342.6974781089917,253.9790249840309,341.4247340431903,346.5632797962936,338.1762909932039,310.1085206758151,297.8820792820454,281.1090223735385,358.58522518268313,319.50932799324625,336.9626070986732,354.64949814921073,340.73542136138354,382.71296828174746,232.21047231671568,331.1760010133156,35.91333862424101,387.1543948389298,268.1497990148662
-4.5,36.5,119.23547514554458,121.83887491771985,125.45045275043668,134.11432858300154,147.11388356964187,131.9922430396569,130.6862824668861,118.090590323232,119.30180437477989,118.79554516116775,119.7300049476104,106.90498042110156,134.83652636271472,117.1878637090224,135.5819744939654,134.28493315151118,131.06301121394011,120.21928678610293,148.16465595063977,130.14695650524976,121.8878125712965,113.59201367732177,131.58518976432686,107.23855406841224,133.73927136501493,125.4056667203131,125.39433177885908,135.34591816640054,131.67571742245522,145.09257587140044,126.53434428509355,145.4106808166921,117.07281736752134,125.56465965522534,131.14864986833217,127.27049628859395,131.2325549703495,133.34774997619735,120.64934808928395,130.09421468352195,130.43338097455293,131.49820330799994,147.68365126194345,124.07672397220638,122.55290847003106,127.65826823013269,124.95203058189139,127.20481173563084,113.7243557059268,128.69658605585158,110.03585223624746,119.39554190966528,132.1822603520014,128.04197678246365,135.62467131557372,127.86547486101118,121.9539372664393,129.3171890188394,125.98716423513011,121.45094497552641,141.79852809028873,124.40377905376252,119.34203176920471,105.4936626314008,124.2780559775451,128.21556932452793,140.03554238310736,117.64619052576319,124.5909794605913,129.17749662664872,135.8157294607942,108.29018317521599,141.55553834757592,128.56835703327164,124.0812141201456,105.74892850266218,118.69441278027087,147.78818057568768,106.39239741331566,111.73437595188062,125.97862623039369,146.29071210579897,129.0159004888932,121.75310830238409,132.0057514541831,127.48103339041917,107.35072038398211,116.17403375297872,124.3530035406855,120.95581028027573,125.46606493277488,114.97741174419119,121.94182134626283,130.61524129038904,119.59229861944692,133.50975958226635,120.06253641672382,130.1728738514346,144.58704310284006,105.3149732870719,126.15608051836657,10.148750989589018,145.45468238114742,107.2218753860467
-3.5,36.5,223.29639861130255,214.64433109850796,236.38113698530998,258.03576466342946,265.0268619896385,246.68269156986136,239.7143036042138,223.55209119433815,227.70026935561697,209.62803661794194,213.58966542965794,194.22192199024832,240.2704445562257,214.84689042737466,241.7956570136844,247.3546014967876,242.2718166664689,224.97465186324442,261.32542988613193,244.4208607793526,211.62959727893843,200.69821652379483,240.39059076386712,201.1938698173228,239.3975090138078,235.9114124717877,242.74288962337093,246.98970008035857,238.3247804534174,261.1460693177489,220.0826493191999,271.07692022178077,216.84993917387987,224.47877069454253,230.57781348787816,233.9822412611298,245.9580484440045,242.91138950611318,231.7756335958111,229.60681088283386,242.43727813481792,237.5731641449611,272.20794175741713,224.7327624557368,217.9863261671465,228.17026068050873,219.23650255853968,234.42510010622797,193.93207167958502,232.52552009417087,204.54910002449557,226.7928316523628,238.71521452563195,234.22933225855905,236.66237066131995,230.6241084147125,217.9802961226322,258.7015631187116,224.14431969854522,228.55253293734026,258.23973487813583,237.00060278254387,218.91495052812576,190.39006675424974,227.91832275832138,236.6417638148738,258.17866864777477,212.28882502108854,233.0275187277473,251.20836691282284,239.6826016284877,193.95045803142295,264.8292901327172,231.40586850560146,228.44524792489997,194.45078799815278,227.60905816522032,264.10608008615276,190.96204086863523,202.0506805199297,219.85929124522653,264.8589038684801,239.49713234784758,214.05237386707452,238.57513836979524,234.65878546286112,187.83799426110826,215.35995486837993,218.42195467164208,234.095551399384,226.31131154365886,211.89754594210962,214.5694004918218,236.30298295234985,212.62669935854876,237.4871420482486,226.67227992059506,247.4192459274013,256.74432110302786,192.66342608550127,230.3084964534632,19.395682054895058,264.142240588481,193.94953871383106
25.5,36.5,195.30394670028642,248.15801463881334,208.5451316562514,239.29838005633562,226.17886341948832,228.16945397567477,261.4315343871723,184.16764213823066,224.52303355826388,226.30207758133605,208.26033881798787,185.94670230120443,241.3646330458607,209.3152860284903,231.77830059856987,199.72334434132918,230.34608268586297,224.3571699208426,250.08274646997492,238.3422253484809,216.80907797370693,199.83050868817438,211.83585157114288,214.5415377207549,264.5388847385915,247.67833196061412,238.130055995396,233.1965225851802,232.2109232021829,274.09997609514795,203.58510853509048,236.180414317242,213.14598175488783,220.00790219617497,245.70964326655573,240.92609903695686,249.03232651201674,241.43288529067706,247.39075063418898,247.09771477891783,248.22352726126948,240.01687240572411,274.2399507755984,185.8238831170697,207.9147724069459,246.29087359476804,224.52552280164414,192.0265794038767,191.8773078660716,219.75940976406346,201.29934752898825,223.44331402638866,218.58224716080187,222.13605088524702,241.00554717870745,215.68954886062716,190.2555773823975,212.49463402662772,218.16012641310553,233.53161031386747,262.767178861993,219.90643878255304,218.72680842983686,184.3027579407354,233.2585811560706,247.43717085869775,227.2817883683159,184.88814427126866,222.02326599781952,202.87665788901415,241.4959304391718,197.8567730302742,263.87102783628444,229.179204151399,195.12069391479832,177.69831163223319,241.2228972198064,260.828119418396,181.05902796531524,208.78876674075906,229.9377875740207,204.00591049070601,219.3061829109932,232.85626768468572,265.61726998371364,235.72671189527534,179.48272582695253,228.6845558857595,239.01248126596002,218.07368958107335,213.83205783183388,202.88519572958043,194.7181836384987,242.09295835877978,220.2133833875084,228.96591144323702,242.1139083676489,220.21717825712133,260.22877008998813,153.8339098472773,223.78666692653206,23.809879646281974,262.8223713107076,184.29600215061018
-8.5,37.5,154.6271161673646,148.78706004721107,157.2119053371685,166.85052912935262,178.10120917434256,160.6528979415278,157.50514821929352,152.2440412208139,149.53385347608963,150.80992433238123,149.74781158670223,143.51485448989166,160.88425994423528,150.90626140647032,163.3149732183021,165.3536215517482,161.20651674985274,148.75999039526607,178.91938934147183,157.84675963926716,152.2672393636163,143.0967045941747,163.02232753659143,137.9415766486497,156.7720172241817,153.73713264268355,158.11202950754236,168.18876748499957,160.8028490934375,169.47969394502283,160.5939364625241,178.39289565347025,144.9680758609944,153.93789340108725,158.78299454049804,152.59881001031172,161.030476999993,159.34533781200415,145.94264269149977,161.1143929499297,157.49519796920802,159.41222240402712,174.52011774576377,157.9425896948816,155.62765616066952,154.96897534136303,152.55032507705204,161.85621816224057,148.71304613073087,160.82289987343916,141.14486476413217,145.79346410469898,163.6289844378377,159.25388507640415,161.35065459962988,158.7138728669683,157.96217670135775,165.36540167774976,157.06995079140916,154.33948394961104,169.2573829683543,151.50533294109874,148.27238352417695,136.87686121453538,155.58374398262535,158.18275836211396,173.074214258947,153.6011474327991,154.32671972532373,164.43158165738842,164.66980695390706,142.19692355912812,171.6444108883939,159.7078565361144,160.68614306233906,139.61025582039676,150.73735757601438,176.81092436433948,137.2428395337355,142.337237245167,154.22878719977427,177.39162377037314,157.40842882744445,148.95449451973016,156.60630058781845,158.39602643584834,143.6355782298323,145.0117870675707,151.35244471057663,153.06613302999784,155.806554241131,148.32655614534363,155.91400926095557,157.6790883708792,150.3506459900624,161.6223371895892,149.4361740449661,162.06675401675335,172.88090393337055,139.3188024033436,156.55647216903398,9.478362770385095,174.63465807669255,141.0681343169454
-7.5,37.5,129.4223581163071,127.04345518749743,128.0338525452721,144.79513083578473,152.80701452233723,136.43686388856642,136.4766428932747,123.5159302699407,124.45003306570005,130.87855077075997,125.97641950803032,123.02878405157097,136.2307690823886,127.2611827271555,135.19758412516742,136.5096145596655,137.74467156016627,125.5465309009712,156.67751278144974,131.95428505646032,130.49249226701775,121.19334540791901,138.10400212348642,115.88358050181218,133.9666118861443,129.2732000942934,137.02532153346093,145.2925481150215,134.1900426861028,146.82503553040573,140.79268913245147,150.98231224249687,120.17666197322956,129.2239200362307,135.58861877132148,126.82050483683388,140.27042071546896,135.2628045215509,121.22550386785501,140.40402134718437,132.72921614690435,136.4025569315804,152.0397027506198,131.01555889243267,131.08004573760755,131.14963512102995,130.0155237910532,134.4185623196428,128.92202459886428,135.89493468972566,117.79852472663248,120.95354218130514,141.30276370648608,139.71184549752007,139.89016872152948,136.961913127338,134.30106020859105,140.18889643916168,135.17751267170365,130.06659885920914,147.5339050066208,123.32475219464416,123.83464701539003,113.66596805274511,134.49352304520875,137.3747699085464,146.43019955321182,130.83620978289593,128.49007922189475,136.22983138122706,141.36251002150303,122.91255542382677,148.83796780192483,136.38898783530007,135.146852976262,116.31789235763763,129.4330011451399,155.42357931633288,111.72473975212876,119.59284023354031,131.7547779138738,147.69763971378208,132.24245117180655,127.6692001664958,134.9795079577409,138.02998644345686,120.4492775262889,123.52192133377973,129.41027233536468,129.53615625462913,131.7868289627206,124.44362391952777,133.69307022448876,134.51757989318773,128.23439011328864,135.87416051908264,128.03203904112945,135.8039135646471,148.91408368982667,112.18256502008317,132.9112966894887,9.333408641972158,149.0174951174602,117.72449310818274
-6.5,37.5,140.76583917575445,146.56222408685468,142.97958297756432,159.72867019959085,167.32199302096512,153.48791309330872,156.31102173557937,136.08801466257356,139.73638369236042,145.8721814854315,140.73307142192195,131.13131748619472,154.08942125758557,139.54970518612416,154.13822592442804,151.70007773063838,155.004774966679,142.4920336568502,171.92883968874943,150.9255696641652,144.43317405261539,135.86995629652245,151.68381504404147,130.7928218613995,154.7662171862282,146.54483492075022,151.39821662374516,159.8154673270652,153.19184582343468,166.49997067367767,152.2368762146612,167.656941725284,136.85972883702678,146.80631502306593,154.18026855290694,147.10238860925517,156.45091878959164,154.8527568042513,142.42464172353405,156.71861935879352,152.20489102980088,154.74700707066873,170.90966648832134,142.68534868222355,144.58713932206487,149.70653736527314,146.98749742913898,146.44857883007236,139.53349894674363,151.70734146569393,130.46335457872948,139.0472186042776,153.81548529107627,154.84672125207297,156.71349144127373,150.58964633065182,144.6381557893665,152.36575833112065,149.6329969000877,145.3307587548722,165.9132834895225,141.16729387464636,141.67904548670666,126.58506166868216,150.3249883308258,153.42310878521397,162.03443444367167,141.5928679512554,144.9333369822023,148.09352467930202,160.3742109328922,135.9509529012358,164.09321427188377,151.89232194053025,147.46097051044407,126.2915556131433,144.0742312240267,173.66625616347326,125.427153449813,133.6234686281828,148.569518995892,162.55236647176525,148.62760069176738,145.16015090796412,153.86454464369064,153.99854485598922,130.83035947938245,141.54171359766252,148.00364681223982,144.38522821393647,145.52347636356484,138.24066687602007,145.51286182485094,152.52895626705345,143.2692202251336,153.34681077771754,144.1819098494988,150.8829066013838,168.06516663771797,122.53183588020957,148.48012497765794,10.376042350301226,167.33874045618106,130.77634849726599
-5.5,37.5,211.57617078884945,227.10163856483013,221.51544497031907,242.03913974852915,243.47472752677578,233.8789343639284,241.05673572810943,205.80368742366016,219.7295569312566,217.57498267568943,212.56625230723947,193.20009786811562,234.5870140416162,214.0447645395003,236.3472000169518,222.78073797887103,235.2932712209546,220.49090843443201,254.31177015785565,233.35962013108866,214.3987448348781,201.71247152741785,224.64742655166538,204.59309121453873,239.86183511259563,234.10152355320662,236.57621250639218,238.98747036406348,233.23710728445909,255.97992114502438,219.36663700861294,252.90483857769885,209.24287526943405,217.64101005102867,234.831861946552,227.97452229115535,242.40366120655779,235.27540036328767,228.17951319035896,235.97951684751808,239.34743365421258,233.00213660214348,262.5678629661573,208.8593507740788,214.84485035101355,229.301511259904,219.25827323972536,215.27054285488643,201.3775323819955,224.94668213843195,201.10306659616984,216.83483974711191,227.4494983526969,227.2414283167815,233.346718505012,224.34955723308917,208.7701560747813,231.55151055409533,220.3047412762232,227.38946669001405,254.061274462777,219.87413437739386,217.89530450725675,188.90039047886918,228.46226715835226,235.70529786777954,241.99712921696437,204.3059222959178,223.74984013069943,225.5203095004139,236.9826208202531,200.68728557983474,254.37177506574795,229.26338443112346,217.78692661516598,187.79598810801576,226.14515005567011,259.1535800079987,188.95320404587306,204.98614029541514,225.41893937561355,236.58222128761884,224.93724336060896,219.94452614876724,241.38740914851343,231.8980208725917,190.37881764011183,218.84419094855912,224.9147480625047,224.4178987359054,218.72156366789795,207.99106340992665,210.165488020229,232.79945725427208,216.20962802431796,229.751305972108,226.74918858647015,232.03382970167442,252.55107578940152,178.97718561878662,224.67017182480944,16.454904121595355,254.07379924753093,193.05903385671544
-4.5,37.5,228.83567649022496,242.8359598723606,245.41012023512081,249.76682503251754,256.7552646761674,247.4136848045455,249.7032408013012,228.41625662931503,239.1405309818363,229.38171403734793,230.49500539068566,206.0043319909307,253.68678199688335,231.90112336382128,259.2752928724175,239.81624469656575,247.37122855565414,234.09862636589628,266.8903056741159,248.5034736578944,230.04565661750325,215.2134360545067,239.20040104029408,220.44722733427247,253.73204086801087,253.8055732210907,246.82634297765088,252.3269402720251,254.09257125438975,270.4048070636238,228.70402573319674,269.18601752032083,225.51138220139384,232.49125418701792,251.18504317467247,245.28857315475975,253.5489537839894,248.62547288824013,244.50485032909967,249.0958224651973,255.02825367537025,245.20072038730254,274.02510424987616,227.13853266201988,233.85811078154796,246.5822438250248,235.11180836219287,232.96881723907572,215.00914700181778,239.91961932982557,219.42114146387254,231.6558698338244,241.85603383033506,231.48735464037227,246.09154574570724,235.29699635680578,223.511310575541,241.71338013785282,232.7719806236634,245.40078437227842,264.8193243866477,240.19446734401885,234.50374716792905,205.53582082409378,238.21881965166787,245.1293278578786,258.456317401303,217.50079271657575,242.50935475830352,245.28829654134938,249.48072827535293,210.52761769121022,269.45969306079405,244.30853760053384,234.79079040743397,202.81107855781224,237.06084918987466,269.0056702026108,210.89261484029038,220.32512585125343,239.145209034669,255.60477332694086,239.88334875536506,232.36337320116834,256.703953528713,240.8060369688706,208.19361277637574,230.86523534555565,239.48751348725207,236.0028159303236,236.5601188190107,224.02524118211196,223.90522029403394,247.03668635649856,231.2956473033736,248.1221702549609,240.558728242266,248.11314193109948,265.74586359784297,199.06434136578355,239.58288841390313,15.721246992379626,266.99607390054064,210.4109174454685
